author,statement,source,date,label,BinaryTarget
Amy Sherman,"Following the passage of a 2022 gun safety law, mass shootings “began to drop.”",Chris Murphy,27-Aug-25,Half True,1
Amy Sherman,"In Washington, D.C., “We always have a murder a week.”",Donald Trump,25-Aug-25,FALSE,0
Louis Jacobson,"""If you go back to World War II, if you go back to World War I, if you go back to every major conflict in human history, they all end with some kind of negotiation.""",JD Vance,24-Aug-25,FALSE,0
Maria Briceño,An Aug. 23 video shows “the military’s already showing up in Chicago” before a potential National Guard deployment.,X posts,23-Aug-25,FALSE,0
Louis Jacobson,“We had the biggest tax cut for families that this country has ever seen.”,JD Vance,21-Aug-25,Barely True,0
Maria Ramirez Uribe,"TikTok videos show police clearing out homeless encampments in Washington, D.C.",TikTok posts,16-Aug-25,FALSE,0
Loreben Tuquero,“Democrats have voted for national independent redistricting. Republicans have not.”,Gavin Newsom,17-Aug-25,Mostly True,1
Grace Abels,"The Smithsonian Institution includes “nothing about success, nothing about brightness, nothing about the future.”",Donald Trump,19-Aug-25,Pants Fire,0
Louis Jacobson,"With voting machines, ""They say we're going to have the results in two weeks. With paper ballots, you have the results that night.""",Donald Trump,18-Aug-25,FALSE,0
Amy Sherman,“We are now the only country in the world that uses mail-in voting.”,Donald Trump,18-Aug-25,FALSE,0
Maria Briceño,"La presidenta de México, Claudia Sheinbaum, dijo que la muerte del político colombiano Miguel Uribe Turbay, “Es bueno para Colombia, un político menos de que preocuparse”.",TikTok posts,12-Aug-25,Pants Fire,0
Hope Karnopp,“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,Americans for Prosperity,28-Jul-25,Mostly True,1
Maria Ramirez Uribe,"Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”",Donald Trump,11-Aug-25,FALSE,0
Maria Ramirez Uribe,“Promises kept: negative net migration (in the U.S.) for the first time in 50 years!”,Donald Trump,4-Aug-25,Barely True,0
Samantha Putterman,The official U.S. government website erased sections of the U.S. Constitution without amending it.,Threads posts,6-Aug-25,FALSE,0
Maria Briceño,"Osos pardos, bisontes y pumas están huyendo del Parque Nacional de Yellowstone hacia Salt Lake City, Utah.",TikTok posts,17-Jul-25,FALSE,0
Paul Specht,“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,John Blust,13-Jun-25,FALSE,0
Maria Briceño,"Elk, grizzly bears, bison and mountain lions are fleeing Yellowstone National Park to Salt Lake City, Utah.",TikTok posts,16-Jul-25,FALSE,0
Amy Sherman,Texas Republicans held one hearing on flood response but eight hearings on redistricting,Ken Martin,5-Aug-25,Half True,1
Louis Jacobson,"Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election.",Donald Trump,5-Aug-25,Pants Fire,0
Samantha Putterman,“I’ve stopped six wars” since taking office in January 2025.,Donald Trump,28-Jul-25,Barely True,0
Gabrielle Lazor,"President Donald Trump “made 4,725 wire transfers” to Jeffrey Epstein, totaling nearly $1.1 billion.",Social Media,27-Jul-25,FALSE,0
Maria Briceño,"“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”",Threads posts,28-Jul-25,FALSE,0
Paul Specht,“Guns are the leading cause of death for children in North Carolina.”,Josh Stein,6-Jun-25,Mostly True,1
Madeline Heim,“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,Francesca Hong,12-Jun-25,TRUE,0
Maria Briceño,"Oprah Winfrey refused to open her private Maui road during July 29, 2025, tsunami warnings.",X posts,29-Jul-25,Pants Fire,0
Gabrielle Lazor,“We gave $60 million two weeks ago” for food aid to Gaza.,Donald Trump,27-Jul-25,Half True,1
Maria Briceño,Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”,X posts,28-Jul-25,FALSE,0
Madison Czopek,“There is no starvation in Gaza.”,Benjamin Netanyahu,27-Jul-25,Pants Fire,0
Maria Briceño,Democrats paid Beyoncé $11 million for an endorsement.,Donald Trump,26-Jul-25,FALSE,0
Amy Sherman,The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,Markwayne Mullin,27-Jul-25,FALSE,0
Loreben Tuquero,"Images show “Egyptian youth who put some food, baby formula, rice, and flour in bottles and threw them into the sea, hoping it would reach Gaza.”",Social Media,24-Jul-25,FALSE,0
Louis Jacobson,"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”",Ritchie Torres,20-Jul-25,Mostly True,1
Gabrielle Lazor,"“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”",U.S. Trade Representative,20-Jul-25,Mostly True,1
Ella Moore,"Florida: #51 in mental health care, #1 in home insurance costs, #1 in elder fraud, #1 in rent hikes.",Gavin Newsom,18-Jul-25,Half True,1
Louis Jacobson,Tariffs are “going to pay off our deficit.”,Howard Lutnick,20-Jul-25,FALSE,0
Louis Jacobson,"In 2016, after Donald Trump won the presidency, then-President Barack Obama was “trying to lead a coup” with Trump’s opponent, Hillary Clinton.",Donald Trump,22-Jul-25,Pants Fire,0
Madison Czopek,“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.,TikTok posts,19-Jul-25,Pants Fire,0
Louis Jacobson,"Under President Donald Trump’s newly signed tax law, “Those making less than $50,000 receive the largest (tax) cuts.”",Lori Chavez-DeRemer,17-Jul-25,Barely True,0
Louis Jacobson,“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,Gavin Newsom,14-Jul-25,Mostly True,1
Grace Abels,The Jeffrey Epstein files “were made up by Comey. They were made up by Obama. They were made up by Biden.”,Donald Trump,15-Jul-25,Pants Fire,0
Maria Briceño,"El sheriff del condado Kerr, Texas dijo, “que se debe solicitar la residencia permanente para el equipo de rescate mexicano que rescató a su familia”.",TikTok posts,12-Jul-25,FALSE,0
Maria Briceño,"""People tracking the ICE deportation flights have found” the agency is throwing migrants into the middle of the ocean.",TikTok posts,30-Jun-25,Pants Fire,0
Maria Briceño,"The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”",X posts,12-Jul-25,FALSE,0
Gabrielle Lazor,There is “zero impact” from Alligator Alcatraz on the Florida Everglades.,Ron DeSantis,27-Jun-25,FALSE,0
Louis Jacobson,"A Congressional Budget Office estimate of people who stand to lose insurance from President Donald Trump’s tax and spending law said “about 5 million … have other insurance,” so “if they lose one (type of coverage), they're still insured.”",Kevin Hassett,6-Jul-25,Barely True,0
Amy Sherman,"“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”",Jon Favreau,8-Jul-25,Mostly True,1
Will Doran,Former Gov. Roy Cooper is scheduled to speak at a Winston-Salem coffee shop July 18 at 11 a.m. about the “future of North Carolina.”,X posts,8-Jul-25,FALSE,0
Louis Jacobson,"China doesn’t “have a lot of wind farms. … Very, very few.”",Donald Trump,8-Jul-25,Pants Fire,0
Loreben Tuquero,Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”,Scott Jennings,1-Jul-25,FALSE,0
Louis Jacobson,The Trump administration “has defunded not only the National Weather Service but also what’s known as NOAA.”,Social Media,6-Jul-25,Barely True,0
Louis Jacobson,"President Donald Trump’s tax law has “tax breaks for billionaires, permanent; tax breaks for everybody else, expire.”",Hakeem Jeffries,2-Jul-25,Half True,1
Madison Czopek,The Rainmaker Technology Corp.’s cloud seeding caused the July 4 flooding in Texas.,Social Media,5-Jul-25,FALSE,0
Maria Briceño,“Si dios fuera ilegal lo deportariamos palabras del gobernador de Texas”.,TikTok posts,6-Jul-25,FALSE,0
Maria Briceño,“Donald Trump acaba de firmar una nueva orden que pone al país en alerta máxima y sella las fronteras para todos los residentes” el 1 de julio.,TikTok posts,20-Jun-25,FALSE,0
Maria Briceño,"Una nueva ley permite aplicar a “la residencia permanente de forma directa, rápida y sin salir del país” si los migrantes han vivido al menos siete años en EE.UU.",TikTok posts,24-Jun-25,FALSE,0
Maria Briceño,President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.,TikTok posts,28-Jun-25,FALSE,0
Maria Briceño,"A new “community recognition” law allows people to apply for “permanent residency directly, quickly, and without leaving the country” if they have “resided continuously in the United States for at least seven years, regardless of their current immigration status.”",TikTok posts,24-Jun-25,FALSE,0
Loreben Tuquero,Idaho shooting suspect Wess Roley faced criminal charges and had a no-contact order from his family.,X posts,30-Jun-25,FALSE,0
Louis Jacobson,The One Big Beautiful Bill will deliver the promise of “no tax on Social Security.”,Donald Trump,29-Jun-25,Barely True,0
Louis Jacobson,"“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’""",Elizabeth Warren,24-Jun-25,Half True,1
Ella Moore,"""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",Occupy Democrats,11-Jun-25,Mostly True,1
Arielle Zionts,"“A lot of times, health care comes with a job.”",John Thune,30-May-25,Half True,1
Louis Jacobson,"If the “Big Beautiful Bill” passes, ""hardworking Americans and families will see an average increase in take-home pay of OVER $10,000 per year.""",Donald Trump,24-Jun-25,Barely True,0
Gabrielle Lazor,“The tow truck drivers in Los Angeles are quickly towing ICE vehicles improperly parked!”,Social Media,24-Jun-25,Pants Fire,0
Ella Moore,New York City mayoral candidate Zohran Mamdani is a communist.,Donald Trump,25-Jun-25,FALSE,0
Loreben Tuquero,“BREAKING NEWS: Dolly Parton announces her refusal to celebrate Pride Month in June.”,Facebook posts,10-Jun-25,Pants Fire,0
Hope Karnopp,"“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”",Josh Schoemann,2-Jun-25,Mostly True,1
Loreben Tuquero,The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”,American Action Network,4-Jun-25,Half True,1
Gabrielle Lazor,Video shows protesters “outraged” over U.S. attacks in Iran.,X posts,22-Jun-25,FALSE,0
Grace Abels,Video shows a woman wearing a rainbow hijab and a bomb vest who filmed her visit to Iran.,Social Media,22-Jun-25,Pants Fire,0
Gabrielle Lazor,"Photo shows Israeli pilot Sarah Ahronot, who was captured by Iran.",X posts,13-Jun-25,FALSE,0
Maria Briceño,Video shows “massive fire after Iranian missile made impact in Tel Aviv” in June 2025.,X posts,22-Jun-25,FALSE,0
Jill Terreri Ramos,"Four million more people live in Florida, but New York gets $20 billion more for Medicaid, because it covers illegal immigrants and adults without chronic illness.",Rick Scott,8-Jun-25,Barely True,0
Madison Czopek,“Governor Tim Walz has DELETED every post he made praising Minnesota (assassin) Vance Boelter.”,Social Media,16-Jun-25,FALSE,0
Loreben Tuquero,Image shows accused shooter Vance Boelter wearing a “Resist” shirt.,X posts,16-Jun-25,Pants Fire,0
Gabrielle Lazor,"Image shows an antifa debit card that can “automatically be funded after looting, rioting and gang stalking.”",X posts,9-Jun-25,FALSE,0
Gabrielle Lazor,Video shows the New York Mets “showed a Pride flag instead of the American flag” during the national anthem.,X posts,14-Jun-25,FALSE,0
Madison Czopek,The suspect in the Minnesota lawmakers’ shootings was driven by “Marxist” ideology.,Mike Lee,15-Jun-25,Pants Fire,0
Louis Jacobson,"California has lower homicide rates than Alabama, Arkansas and Oklahoma.",Gavin Newsom,10-Jun-25,Mostly True,1
Gabrielle Lazor,Video shows Marine Corps attack helicopter over Los Angeles in response to immigration raid protests.,X posts,9-Jun-25,FALSE,0
Ella Moore,Photos show Travis Kelce and Taylor Swift participated in a “No Kings” rally.,Facebook posts,15-Jun-25,Pants Fire,0
Ella Moore,"Says Karoline Leavitt said, “America cannot function if President Trump has to deal with co-equal branches of government having the ability to check his power.”",X posts,12-Jun-25,FALSE,0
Gabrielle Lazor,"Companies called “T-Mellon Events” and “Fight Fite Fight LLC” are offering to pay “seat fillers” in Washington, D.C, on June 14.",Social Media,10-Jun-25,FALSE,0
Ella Moore,Immigration and Customs Enforcement agents raided Los Angeles' Gratts Learning Academy during a June graduation ceremony.,Instagram posts,6-Jun-25,FALSE,0
Ella Moore,"Video shows woman exiting her car during the 2025 Los Angeles protests, shouting, “I have babies in the car!”",X posts,9-Jun-25,FALSE,0
Maria Briceño,Craigslist ad was “recruiting people for LA ‘protests.’”,TikTok posts,9-Jun-25,FALSE,0
Ella Moore,Video shows Los Angeles protesters chanting “We are Los Angeles” in June 2025.,TikTok posts,9-Jun-25,FALSE,0
Louis Jacobson,"If the “Big, Beautiful” tax and spending bill doesn’t pass, “there will be a 68% tax increase.”",Donald Trump,5-Jun-25,FALSE,0
Loreben Tuquero,California Gov. Gavin Newsom shared images taken in 2021 and said they showed National Guard troops sleeping on the floor in June 2025.,Social Media,9-Jun-25,Pants Fire,0
Loreben Tuquero,Video shows “Marines have arrived in Los Angeles” June 8 to respond to immigration protests.,X posts,8-Jun-25,FALSE,0
Maria Briceño,“BREAKING: Rep. Maxine Waters calls for the United States to grant citizenship to every undocumented protester in Los Angeles” 2025 protests.,Facebook posts,8-Jun-25,FALSE,0
Loreben Tuquero,Video shows a police car burning during June 2025 Los Angeles protests.,X posts,8-Jun-25,FALSE,0
Gabrielle Lazor,Target “opts out of Pride month and replaced its Pride collection with an America First Summer display.”,X posts,2-Jun-25,FALSE,0
Louis Jacobson,“President Trump has granted pardons that have wiped out over $1 billion in debts owed by wealthy Americans who have committed fraud and broken the law.”,Liz Oyer,30-Apr-25,Mostly True,1
Louis Jacobson,“One out of every $5 or $6 in Medicaid (payments) is improper.”,Russell Vought,1-Jun-25,Barely True,0
Jill Terreri Ramos,The state budget contains the largest middle class tax cut in 70 years.,Kathy Hochul,5-May-25,FALSE,0
Maria Briceño,Image shows Ben & Jerry’s is selling “Free Palestine” and “From the River to Sea” ice cream flavors.,Viral image,26-May-25,FALSE,0
Paul Specht,“Contractors are being rejected” from providing Hurricane Helene relief in North Carolina because of racial “quotas” required by the state.,Brenden Jones,2-Apr-25,FALSE,0
Loreben Tuquero,“We are not cutting” the Supplemental Nutrition Assistance Program.,Mike Johnson,25-May-25,FALSE,0
Maria Ramirez Uribe,Harvard University “refuse(s) to tell us” who its international students are.,Donald Trump,25-May-25,FALSE,0
Maria Briceño,El gobernador de Florida Ron DeSantis firmó ley que prohíbe a inmigrantes ilegalmente en el país echar gasolina.,TikTok posts,24-May-25,FALSE,0
Amy Sherman,The Republican tax and spending bill will let President Donald Trump “delay or cancel elections — legally.”,Social Media,25-May-25,FALSE,0
Louis Jacobson,“U.S. retail gasoline prices heading into Memorial Day weekend: 20 year low.”,U.S. Energy Department,25-May-25,Half True,1
Loreben Tuquero,"Rep. LaMonica McIver, D-N.J., started singing during a May 20 CNN interview.",X posts,21-May-25,FALSE,0
Maria Briceño,"The slaying of two Israeli embassy employees in Washington, D.C., is a false flag.",X posts,22-May-25,Pants Fire,0
Louis Jacobson,"In the House bill, “we’re not changing Medicaid,” only cutting “waste, fraud and abuse.”",Donald Trump,20-May-25,FALSE,0
Loreben Tuquero,The Sean “Diddy” Combs trial testimony revealed that former President Barack Obama was “caught in secret meetings with Diddy’s drug runner.”,X posts,20-May-25,FALSE,0
Grace Abels,"Video shows the Qatari emir saying, “I truly regret inviting Trump, the robber, to the Middle East.”",Social Media,21-May-25,Pants Fire,0
Amy Sherman,Que California ofrezca acceso asequible a cuidado de salud para los inmigrantes ilegalmente en EE.UU.,Gavin Newsom,14-May-25,Half Flip,1
Maria Briceño,La presidenta de México Claudia Sheinbaum dijo que el choque del buque Cuauhtémoc contra el puente de Brooklyn en Nueva York no fue un accidente y puede ser un acto hostil.,TikTok posts,19-May-25,FALSE,0
Louis Jacobson,President Donald Trump’s tax and spending bill “does not add to the deficit.”,Karoline Leavitt,19-May-25,FALSE,0
Loreben Tuquero,"While serving in Congress, Transportation Secretary Sean Duffy “voted against upgrading air traffic control systems.”",Robert Reich,13-May-25,Barely True,0
Grace Abels,Former President Joe Biden’s cancer is a form of “turbo cancer” caused by mRNA vaccines.,X posts,20-May-25,FALSE,0
Louis Jacobson,"“Gasoline prices have collapsed under President Trump.""",Scott Bessent,18-May-25,Barely True,0
Madison Czopek,"It’s “all true” that the measles vaccine wanes quickly, was never fully safety tested and contains fetal debris.",Robert F. Kennedy Jr.,14-May-25,FALSE,0
Louis Jacobson,"“Republicans just unveiled their ‘big, beautiful bill,’ which will take Medicaid & health insurance away from 13.7 million Americans.”",Bernie Sanders,12-May-25,Half True,1
Amy Sherman,On California offering affordable health care access for immigrants in the U.S. illegally.,Gavin Newsom,14-May-25,Half Flip,1
Louis Jacobson,"Declining cargo traffic at U.S. ports “means we lose less money. … When you say it's slowed down, that's a good thing.”",Donald Trump,8-May-25,FALSE,0
Maria Briceño,"Un vídeo muestra al presidente francés, Emmanuel Macron, al primer ministro del Reino Unido, Keir Starmer, y al canciller alemán, Friedrich Merz, con una bolsa de cocaína tras visitar al presidente ucraniano, Volodymyr Zelenskyy.",Alex Jones,11-May-25,Pants Fire,0
Paul Specht,“Google caved in to Trump. They erased Black History Month from the calendar.”,Marcia Morey,30-Apr-25,Barely True,0
Maria Ramirez Uribe,"The Immigration and Nationality Act “stripped Article III courts, that's the judicial branch, of jurisdiction over immigration cases.”",Stephen Miller,9-May-25,FALSE,0
Louis Jacobson,"Under a new executive order, prescription drug prices will be reduced “almost immediately.”",Donald Trump,11-May-25,Barely True,0
Amy Sherman,"The Digital Equity Act is a handout ""based on race,” and “illegal.”",Donald Trump,8-May-25,FALSE,0
Maria Briceño,"A video shows French President Emmanuel Macron, United Kingdom Prime Minister Keir Starmer and German Chancellor Freidrich Merz with a bag of cocaine after visiting Ukrainian President Volodymyr Zelenskyy.",Alex Jones,11-May-25,Pants Fire,0
Maria Ramirez Uribe,"“In 1996, Congress specifically authorized the executive branch to conduct non-judicial deportations NOT SUBJECT TO DUE PROCESS.”",Social Media,30-Apr-25,FALSE,0
Louis Jacobson,“About 20% of households with veterans rely upon” the Supplemental Nutrition Assistance Program.,Hakeem Jeffries,8-May-25,Barely True,0
Maria Ramirez Uribe,"En los primeros 100 días del presidente Donald Trump, las incautaciones de fentanilo salvaron entre ""119 millones"" y ""258 millones"" de vidas.",Pam Bondi,29-Apr-25,Pants Fire,0
Loreben Tuquero,“China makes 80% of all toys” and “90% of all Christmas goods” sold in the U.S.,Charles Blow,5-May-25,TRUE,0
Madison Czopek,"Headline said, “Pope Leo XIV was a founding member of the 2020 anarchist Portland Autonomous Zone known as CHAZ.”",X posts,8-May-25,FALSE,0
Grace Abels,"Robert Prevost, the Roman Catholic cardinal who was chosen to be the new pope, is a “registered Republican.”",X posts,8-May-25,Barely True,0
Madison Czopek,“We have now close to $10 trillion” in investments. “We’re talking about essentially two months.”,Donald Trump,8-May-25,FALSE,0
Maria Ramirez Uribe,"“If people come into our country illegally, there’s a different standard” for due process.",Donald Trump,29-Apr-25,FALSE,0
Amy Sherman,Canadian tourism to Florida has declined by 80%.,Jared Moskowitz,1-May-25,Barely True,0
Louis Jacobson,"""Republicans just voted in the House Judiciary Committee to allow Trump to DEPORT U.S. citizens to a foreign country.""",Eric Swalwell,30-Apr-25,Barely True,0
Madison Czopek,"Video shows Canadian Prime Minister Mark Carney saying effective June 1, “all vehicles manufactured before 2000 will be gradually phased off Canadian roads due to safety and emissions standards.”",TikTok posts,3-May-25,FALSE,0
Amy Sherman,"The federal government’s Women, Peace and Security program is a “Biden initiative.”",Pete Hegseth,29-Apr-25,FALSE,0
Grace Abels,California Democrats “block bill to make sex trafficking minors a felony.”,X posts,29-Apr-25,Barely True,0
Madison Czopek,DARPA is spraying the skies with chemicals that are in jet fuel.,Robert F. Kennedy Jr.,29-Apr-25,Pants Fire,0
Louis Jacobson,"“It's estimated” that President Donald Trump’s tariffs will mean “American families would have to pay about $4,000 more a year.”",Charles Schumer,27-Apr-25,Mostly True,1
Madison Czopek,A video clip shows Michelle Obama describing herself as “a Black man.”,X posts,30-Apr-25,Pants Fire,0
Maria Ramirez Uribe,"In President Donald Trump’s first 100 days, fentanyl seizures saved “119 million” to “258 million” lives.",Pam Bondi,29-Apr-25,Pants Fire,0
Louis Jacobson,Kilmar Armando Abrego Garcia “had ‘MS-13’ on his knuckles tattooed. … He had ‘MS’ as clear as you can be. Not 'interpreted.’”,Donald Trump,29-Apr-25,Pants Fire,0
Paul Specht,Trump “just denied North Carolina’s request for FEMA relief from Hurricane Helene.”,Brian Tyler Cohen,12-Apr-25,Half True,1
Louis Jacobson,“We had a couple of states where gasoline was at $1.98 a gallon.”,Donald Trump,22-Apr-25,FALSE,0
Loreben Tuquero,“Gun violence is the leading killer of college-aged people in the U.S.”,Moms Demand Action for Gun Sense In America,17-Apr-25,TRUE,0
Jill Terreri Ramos,"“If we don’t pass the tax bill by the end of the year, we will have the largest tax increase in American history.”",Michael Lawler,21-Mar-25,Mostly True,1
Claire Cranford,“The Simpsons” predicted Pope Francis’ 2025 death.,TikTok posts,21-Apr-25,Pants Fire,0
Madison Czopek,"Arizona Democrats “needed a lawsuit to force them to remove 50,000 noncitizens from voter rolls.”",X posts,13-Apr-25,FALSE,0
Loreben Tuquero,Former U.S. Rep. Liz Cheney wrote a viral letter to Democrats suggesting steps to take against the Trump administration.,Facebook posts,16-Apr-25,FALSE,0
Grace Abels,"Under the SAVE Act, “as long as you have a Real ID … it should be easy for you to register to vote.”",Byron Donalds,10-Apr-25,Barely True,0
Claire Cranford,"“Less than half of Americans have $1,000 in savings.”",Tim Walz,6-Apr-25,Barely True,0
Madison Czopek,"Cody Balmer, the person charged with setting fire to Pennsylvania governor’s residence, posted a photo that said “F--- Trump.”",X posts,13-Apr-25,FALSE,0
Maria Briceño,"U.S. Rep. Jasmine Crockett says “she ‘simply forgot' to inform Social Security that her grandmother died in 2012 … She’s been collecting $2,600 a month for 13 years.”",TikTok posts,5-Apr-25,Pants Fire,0
Grace Abels,"Photos and videos show Washington, D.C., protests against White House adviser Elon Musk are “staged & paid — bussed in, scripted, clocked out.”",X posts,6-Apr-25,FALSE,0
Louis Jacobson,"In 2024, “China made $1 trillion off trade with the United States.”",Donald Trump,9-Apr-25,FALSE,0
Maria Briceño,"“China cancela la venta de TikTok” y “a partir de finales de abril los usuarios estadounidenses tendrán que pagar una tarifa mensual obligatoria para seguir usando TikTok"".",TikTok posts,9-Apr-25,FALSE,0
Maria Ramirez Uribe,"The 2020 election was “rigged” and Chris Krebs, former Cybersecurity and Infrastructure Security Agency director, “baselessly” dismissed “election malfeasance.”",Donald Trump,9-Apr-25,Pants Fire,0
Amy Sherman,The U.S. is “taking in almost $2 billion a day in tariffs.”,Donald Trump,8-Apr-25,FALSE,0
Maria Ramirez Uribe,“We had an agriculture export deficit that increased from zero when President Trump left to $49 billion” under former President Joe Biden.,Brooke Rollins,6-Apr-25,Barely True,0
Amy Sherman,On enacting country-by-country tariffs April 9.,Donald Trump,9-Apr-25,Full Flop,0
Claire Cranford,Men “have the lowest college attainment rate ever.”,Ruben Gallego,24-Mar-25,Mostly True,1
Madison Czopek,"Says Kevin Hassett, National Economic Council director, said on April 7, “Trump is considering a 90-day pause in tariffs for all countries except China.”",X posts,7-Apr-25,FALSE,0
Ciara O'Rourke,Video shows South African news outlet reporting Ukraine President Volodymyr Zelenskyy “purchased a controlling stake” in a mine.,Viral image,4-Apr-25,FALSE,0
Ciara O'Rourke,"Says Cleveland Clinic said, “Millions of COVID-vaxxed will die within ‘5 years.’”",Facebook posts,28-Mar-25,FALSE,0
Ciara O'Rourke,“White hats to investigate Wisconsin Supreme Court election.”,Viral image,2-Apr-25,FALSE,0
Ciara O'Rourke,"Photo shows “Pope Francis, shaking the hand of the priest of the Church of Satan.”",Facebook posts,30-Mar-25,FALSE,0
Ciara O'Rourke,"Says Elon Musk wrote on X, “The DOGE team has discovered tens of millions of dollars spent on golf by a single government official.”",Viral image,31-Mar-25,FALSE,0
Ciara O'Rourke,"“Caitlin Clark stuns the globe, rejects Elon Musk’s $15 million offer.”",Facebook posts,29-Mar-25,FALSE,0
Loreben Tuquero,Video of gray skies in northern Michigan is proof of weather modification.,Facebook posts,1-Apr-25,FALSE,0
Maria Briceño,“Trump ordena ataques militares en los túneles del Vaticano - Laboratorios de (adrenocromo) dirigidos por la CIA cerrados por las fuerzas especiales de EE.UU”.,Facebook posts,28-Mar-25,Pants Fire,0
Ciara O'Rourke,Says U.S. Rep. Alexandria Ocasio-Cortez’s family “must have just overlooked” “cashing her dead grandmother’s Social Security checks for a decade and a half.”,Viral image,3-Apr-25,Pants Fire,0
Madison Czopek,Conservative activist Laura Loomer’s reporting proves “Alex Wong is the individual who added (journalist) Jeffrey Goldberg” to the Trump administration Signal group text about bombing Yemen.,Facebook posts,27-Mar-25,FALSE,0
Ciara O'Rourke,Video shows “how Denmark reacted when Trump said he wanted to buy Greenland.”,Viral image,29-Mar-25,FALSE,0
Ciara O'Rourke,"“Daughter of boxing legend, Muhammed Ali, Laila Ali, has lost her life while giving birth in a Canadian hospital.”",Facebook posts,27-Mar-25,FALSE,0
Ciara O'Rourke,"Says President Donald Trump wrote on Truth Social, “I am ending dual citizenship under the Espionage Act and all these traitors will be ‘denaturalized and deported.’”",Viral image,1-Apr-25,FALSE,0
